ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-5+StopWordRemoval,NEWS322,SYSTEM1.TXT,0.81395,0.56452,0.66667,1

ROUGE-5+StopWordRemoval,NEWS564,SYSTEM1.TXT,0.83784,1.00000,0.91176,1

ROUGE-5+StopWordRemoval,NEWS323,SYSTEM1.TXT,0.49020,1.00000,0.65789,1

ROUGE-5+StopWordRemoval,NEWS565,SYSTEM1.TXT,0.88636,1.00000,0.93976,1

ROUGE-5+StopWordRemoval,NEWS566,SYSTEM1.TXT,0.90000,1.00000,0.94737,1

ROUGE-5+StopWordRemoval,NEWS324,SYSTEM1.TXT,0.77143,0.47368,0.58696,1

ROUGE-5+StopWordRemoval,NEWS567,SYSTEM1.TXT,0.27273,0.55556,0.36585,1

ROUGE-5+StopWordRemoval,NEWS325,SYSTEM1.TXT,1.00000,0.62000,0.76543,1

ROUGE-5+StopWordRemoval,NEWS326,SYSTEM1.TXT,0.88372,0.63333,0.73786,1

ROUGE-5+StopWordRemoval,NEWS568,SYSTEM1.TXT,1.00000,0.72500,0.84058,1

ROUGE-5+StopWordRemoval,NEWS327,SYSTEM1.TXT,1.00000,0.36957,0.53968,1

ROUGE-5+StopWordRemoval,NEWS569,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-5+StopWordRemoval,NEWS328,SYSTEM1.TXT,0.60976,0.52083,0.56180,1

ROUGE-5+StopWordRemoval,NEWS329,SYSTEM1.TXT,0.79630,0.69355,0.74138,1

ROUGE-5+StopWordRemoval,NEWS570,SYSTEM1.TXT,1.00000,0.54688,0.70707,1

ROUGE-5+StopWordRemoval,NEWS571,SYSTEM1.TXT,0.84783,1.00000,0.91765,1

ROUGE-5+StopWordRemoval,NEWS330,SYSTEM1.TXT,0.73810,0.52542,0.61386,1

ROUGE-5+StopWordRemoval,NEWS572,SYSTEM1.TXT,0.76667,1.00000,0.86792,1

ROUGE-5+StopWordRemoval,NEWS573,SYSTEM1.TXT,1.00000,0.75926,0.86316,1

ROUGE-5+StopWordRemoval,NEWS331,SYSTEM1.TXT,0.86667,1.00000,0.92857,1

ROUGE-5+StopWordRemoval,NEWS332,SYSTEM1.TXT,0.64103,0.80645,0.71429,1

ROUGE-5+StopWordRemoval,NEWS574,SYSTEM1.TXT,0.62500,0.90909,0.74074,1

ROUGE-5+StopWordRemoval,NEWS575,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-5+StopWordRemoval,NEWS333,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-5+StopWordRemoval,NEWS334,SYSTEM1.TXT,1.00000,0.73585,0.84783,1

ROUGE-5+StopWordRemoval,NEWS576,SYSTEM1.TXT,0.88636,1.00000,0.93976,1

ROUGE-5+StopWordRemoval,NEWS335,SYSTEM1.TXT,1.00000,0.84483,0.91589,1

ROUGE-5+StopWordRemoval,NEWS577,SYSTEM1.TXT,0.59259,0.50000,0.54237,1

ROUGE-5+StopWordRemoval,NEWS336,SYSTEM1.TXT,1.00000,0.40833,0.57988,1

ROUGE-5+StopWordRemoval,NEWS578,SYSTEM1.TXT,1.00000,0.83673,0.91111,1

ROUGE-5+StopWordRemoval,NEWS337,SYSTEM1.TXT,1.00000,0.67391,0.80519,1

ROUGE-5+StopWordRemoval,NEWS579,SYSTEM1.TXT,0.63636,0.57143,0.60215,1

ROUGE-5+StopWordRemoval,NEWS338,SYSTEM1.TXT,0.39130,1.00000,0.56250,1

ROUGE-5+StopWordRemoval,NEWS339,SYSTEM1.TXT,0.30769,1.00000,0.47059,1

ROUGE-5+StopWordRemoval,NEWS580,SYSTEM1.TXT,1.00000,0.62000,0.76543,1

ROUGE-5+StopWordRemoval,NEWS581,SYSTEM1.TXT,0.50000,0.40625,0.44828,1

ROUGE-5+StopWordRemoval,NEWS340,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-5+StopWordRemoval,NEWS582,SYSTEM1.TXT,0.68605,0.71951,0.70238,1

ROUGE-5+StopWordRemoval,NEWS341,SYSTEM1.TXT,1.00000,0.33333,0.50000,1

ROUGE-5+StopWordRemoval,NEWS583,SYSTEM1.TXT,0.77778,0.43750,0.56000,1

ROUGE-5+StopWordRemoval,NEWS342,SYSTEM1.TXT,0.37143,0.38235,0.37681,1

ROUGE-5+StopWordRemoval,NEWS584,SYSTEM1.TXT,0.66667,0.63415,0.65000,1

ROUGE-5+StopWordRemoval,NEWS100,SYSTEM1.TXT,1.00000,0.75000,0.85714,1

ROUGE-5+StopWordRemoval,NEWS585,SYSTEM1.TXT,0.75000,0.65854,0.70130,1

ROUGE-5+StopWordRemoval,NEWS343,SYSTEM1.TXT,1.00000,0.80000,0.88889,1

ROUGE-5+StopWordRemoval,NEWS101,SYSTEM1.TXT,0.83333,1.00000,0.90909,1

ROUGE-5+StopWordRemoval,NEWS344,SYSTEM1.TXT,0.57143,1.00000,0.72727,1

ROUGE-5+StopWordRemoval,NEWS586,SYSTEM1.TXT,0.73469,1.00000,0.84706,1

ROUGE-5+StopWordRemoval,NEWS102,SYSTEM1.TXT,1.00000,0.44565,0.61654,1

ROUGE-5+StopWordRemoval,NEWS345,SYSTEM1.TXT,0.77273,0.68000,0.72340,1

ROUGE-5+StopWordRemoval,NEWS587,SYSTEM1.TXT,0.58929,1.00000,0.74157,1

ROUGE-5+StopWordRemoval,NEWS103,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-5+StopWordRemoval,NEWS588,SYSTEM1.TXT,1.00000,0.61765,0.76364,1

ROUGE-5+StopWordRemoval,NEWS346,SYSTEM1.TXT,0.60000,0.63636,0.61765,1

ROUGE-5+StopWordRemoval,NEWS104,SYSTEM1.TXT,1.00000,0.65000,0.78788,1

ROUGE-5+StopWordRemoval,NEWS589,SYSTEM1.TXT,0.69388,1.00000,0.81928,1

ROUGE-5+StopWordRemoval,NEWS347,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-5+StopWordRemoval,NEWS105,SYSTEM1.TXT,0.72727,0.77419,0.75000,1

ROUGE-5+StopWordRemoval,NEWS96,SYSTEM1.TXT,0.87097,0.44262,0.58696,1

ROUGE-5+StopWordRemoval,NEWS106,SYSTEM1.TXT,0.77083,0.59677,0.67273,1

ROUGE-5+StopWordRemoval,NEWS348,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-5+StopWordRemoval,NEWS107,SYSTEM1.TXT,1.00000,0.61818,0.76404,1

ROUGE-5+StopWordRemoval,NEWS349,SYSTEM1.TXT,0.65385,0.44737,0.53125,1

ROUGE-5+StopWordRemoval,NEWS97,SYSTEM1.TXT,1.00000,0.78571,0.88000,1

ROUGE-5+StopWordRemoval,NEWS108,SYSTEM1.TXT,0.78788,0.81250,0.80000,1

ROUGE-5+StopWordRemoval,NEWS98,SYSTEM1.TXT,1.00000,0.54762,0.70769,1

ROUGE-5+StopWordRemoval,NEWS109,SYSTEM1.TXT,1.00000,0.54167,0.70270,1

ROUGE-5+StopWordRemoval,NEWS99,SYSTEM1.TXT,0.65517,0.36538,0.46914,1

ROUGE-5+StopWordRemoval,NEWS92,SYSTEM1.TXT,0.59184,1.00000,0.74359,1

ROUGE-5+StopWordRemoval,NEWS590,SYSTEM1.TXT,0.92593,0.69444,0.79365,1

ROUGE-5+StopWordRemoval,NEWS93,SYSTEM1.TXT,1.00000,0.81034,0.89524,1

ROUGE-5+StopWordRemoval,NEWS591,SYSTEM1.TXT,0.91429,0.59259,0.71910,1

ROUGE-5+StopWordRemoval,NEWS94,SYSTEM1.TXT,0.85417,1.00000,0.92135,1

ROUGE-5+StopWordRemoval,NEWS592,SYSTEM1.TXT,0.56522,0.65000,0.60465,1

ROUGE-5+StopWordRemoval,NEWS95,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-5+StopWordRemoval,NEWS350,SYSTEM1.TXT,1.00000,0.58667,0.73950,1

ROUGE-5+StopWordRemoval,NEWS351,SYSTEM1.TXT,0.70732,0.64444,0.67442,1

ROUGE-5+StopWordRemoval,NEWS593,SYSTEM1.TXT,1.00000,0.66667,0.80000,1

ROUGE-5+StopWordRemoval,NEWS352,SYSTEM1.TXT,0.89189,0.76744,0.82500,1

ROUGE-5+StopWordRemoval,NEWS110,SYSTEM1.TXT,1.00000,0.61111,0.75862,1

ROUGE-5+StopWordRemoval,NEWS594,SYSTEM1.TXT,0.92308,0.66667,0.77419,1

ROUGE-5+StopWordRemoval,NEWS90,SYSTEM1.TXT,0.64516,1.00000,0.78431,1

ROUGE-5+StopWordRemoval,NEWS111,SYSTEM1.TXT,0.91837,0.65217,0.76271,1

ROUGE-5+StopWordRemoval,NEWS595,SYSTEM1.TXT,1.00000,0.75000,0.85714,1

ROUGE-5+StopWordRemoval,NEWS353,SYSTEM1.TXT,0.80000,0.39437,0.52830,1

ROUGE-5+StopWordRemoval,NEWS112,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-5+StopWordRemoval,NEWS354,SYSTEM1.TXT,0.75000,1.00000,0.85714,1

ROUGE-5+StopWordRemoval,NEWS91,SYSTEM1.TXT,0.73077,0.33333,0.45783,1

ROUGE-5+StopWordRemoval,NEWS596,SYSTEM1.TXT,0.49180,1.00000,0.65934,1

ROUGE-5+StopWordRemoval,NEWS597,SYSTEM1.TXT,0.41304,0.17117,0.24204,1

ROUGE-5+StopWordRemoval,NEWS89,SYSTEM1.TXT,0.48649,0.58065,0.52941,1

ROUGE-5+StopWordRemoval,NEWS113,SYSTEM1.TXT,1.00000,0.77273,0.87179,1

ROUGE-5+StopWordRemoval,NEWS355,SYSTEM1.TXT,0.65217,0.71429,0.68182,1

ROUGE-5+StopWordRemoval,NEWS598,SYSTEM1.TXT,1.00000,0.71053,0.83077,1

ROUGE-5+StopWordRemoval,NEWS114,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-5+StopWordRemoval,NEWS356,SYSTEM1.TXT,0.47170,0.54348,0.50505,1

ROUGE-5+StopWordRemoval,NEWS357,SYSTEM1.TXT,0.13333,1.00000,0.23529,1

ROUGE-5+StopWordRemoval,NEWS599,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-5+StopWordRemoval,NEWS115,SYSTEM1.TXT,0.61765,0.46667,0.53165,1

ROUGE-5+StopWordRemoval,NEWS358,SYSTEM1.TXT,1.00000,0.54930,0.70909,1

ROUGE-5+StopWordRemoval,NEWS116,SYSTEM1.TXT,0.57778,1.00000,0.73239,1

ROUGE-5+StopWordRemoval,NEWS85,SYSTEM1.TXT,1.00000,0.54348,0.70423,1

ROUGE-5+StopWordRemoval,NEWS117,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-5+StopWordRemoval,NEWS359,SYSTEM1.TXT,0.81818,1.00000,0.90000,1

ROUGE-5+StopWordRemoval,NEWS118,SYSTEM1.TXT,0.72000,0.42857,0.53731,1

ROUGE-5+StopWordRemoval,NEWS86,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-5+StopWordRemoval,NEWS87,SYSTEM1.TXT,0.76087,1.00000,0.86420,1

ROUGE-5+StopWordRemoval,NEWS119,SYSTEM1.TXT,0.65000,0.40000,0.49524,1

ROUGE-5+StopWordRemoval,NEWS88,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-5+StopWordRemoval,NEWS81,SYSTEM1.TXT,0.45652,0.58333,0.51220,1

ROUGE-5+StopWordRemoval,NEWS82,SYSTEM1.TXT,0.47826,0.55000,0.51163,1

ROUGE-5+StopWordRemoval,NEWS360,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-5+StopWordRemoval,NEWS83,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-5+StopWordRemoval,NEWS361,SYSTEM1.TXT,0.79412,0.43548,0.56250,1

ROUGE-5+StopWordRemoval,NEWS84,SYSTEM1.TXT,1.00000,0.47917,0.64789,1

ROUGE-5+StopWordRemoval,NEWS120,SYSTEM1.TXT,1.00000,0.43243,0.60377,1

ROUGE-5+StopWordRemoval,NEWS362,SYSTEM1.TXT,0.88372,0.77551,0.82609,1

ROUGE-5+StopWordRemoval,NEWS121,SYSTEM1.TXT,0.80769,1.00000,0.89362,1

ROUGE-5+StopWordRemoval,NEWS363,SYSTEM1.TXT,0.82051,1.00000,0.90141,1

ROUGE-5+StopWordRemoval,NEWS364,SYSTEM1.TXT,0.52381,0.55000,0.53659,1

ROUGE-5+StopWordRemoval,NEWS122,SYSTEM1.TXT,0.65854,1.00000,0.79412,1

ROUGE-5+StopWordRemoval,NEWS123,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-5+StopWordRemoval,NEWS80,SYSTEM1.TXT,1.00000,0.75000,0.85714,1

ROUGE-5+StopWordRemoval,NEWS365,SYSTEM1.TXT,0.63158,1.00000,0.77419,1

ROUGE-5+StopWordRemoval,NEWS124,SYSTEM1.TXT,1.00000,0.71429,0.83333,1

ROUGE-5+StopWordRemoval,NEWS366,SYSTEM1.TXT,0.90000,0.70588,0.79121,1

ROUGE-5+StopWordRemoval,NEWS367,SYSTEM1.TXT,1.00000,0.77966,0.87619,1

ROUGE-5+StopWordRemoval,NEWS125,SYSTEM1.TXT,1.00000,0.77551,0.87356,1

ROUGE-5+StopWordRemoval,NEWS368,SYSTEM1.TXT,0.77500,0.64583,0.70455,1

ROUGE-5+StopWordRemoval,NEWS126,SYSTEM1.TXT,1.00000,0.86792,0.92929,1

ROUGE-5+StopWordRemoval,NEWS369,SYSTEM1.TXT,1.00000,0.56818,0.72464,1

ROUGE-5+StopWordRemoval,NEWS127,SYSTEM1.TXT,0.89362,0.80769,0.84848,1

ROUGE-5+StopWordRemoval,NEWS128,SYSTEM1.TXT,0.52941,0.22500,0.31579,1

ROUGE-5+StopWordRemoval,NEWS129,SYSTEM1.TXT,0.76087,1.00000,0.86420,1

ROUGE-5+StopWordRemoval,NEWS370,SYSTEM1.TXT,0.65306,0.60377,0.62745,1

ROUGE-5+StopWordRemoval,NEWS371,SYSTEM1.TXT,0.85714,0.82353,0.84000,1

ROUGE-5+StopWordRemoval,NEWS372,SYSTEM1.TXT,0.28261,1.00000,0.44068,1

ROUGE-5+StopWordRemoval,NEWS130,SYSTEM1.TXT,0.89286,1.00000,0.94340,1

ROUGE-5+StopWordRemoval,NEWS131,SYSTEM1.TXT,0.66071,1.00000,0.79570,1

ROUGE-5+StopWordRemoval,NEWS373,SYSTEM1.TXT,0.58333,0.61404,0.59829,1

ROUGE-5+StopWordRemoval,NEWS374,SYSTEM1.TXT,1.00000,0.38667,0.55769,1

ROUGE-5+StopWordRemoval,NEWS132,SYSTEM1.TXT,1.00000,0.61644,0.76271,1

ROUGE-5+StopWordRemoval,NEWS133,SYSTEM1.TXT,0.36842,0.35000,0.35897,1

ROUGE-5+StopWordRemoval,NEWS375,SYSTEM1.TXT,0.76087,1.00000,0.86420,1

ROUGE-5+StopWordRemoval,NEWS134,SYSTEM1.TXT,0.66667,0.73913,0.70103,1

ROUGE-5+StopWordRemoval,NEWS376,SYSTEM1.TXT,0.36364,0.45714,0.40506,1

ROUGE-5+StopWordRemoval,NEWS135,SYSTEM1.TXT,0.60000,0.48387,0.53571,1

ROUGE-5+StopWordRemoval,NEWS377,SYSTEM1.TXT,1.00000,0.54930,0.70909,1

ROUGE-5+StopWordRemoval,NEWS136,SYSTEM1.TXT,1.00000,0.66216,0.79675,1

ROUGE-5+StopWordRemoval,NEWS378,SYSTEM1.TXT,0.88372,0.70370,0.78351,1

ROUGE-5+StopWordRemoval,NEWS379,SYSTEM1.TXT,0.79310,0.83636,0.81416,1

ROUGE-5+StopWordRemoval,NEWS137,SYSTEM1.TXT,0.73810,0.63265,0.68132,1

ROUGE-5+StopWordRemoval,NEWS138,SYSTEM1.TXT,0.80851,1.00000,0.89412,1

ROUGE-5+StopWordRemoval,NEWS139,SYSTEM1.TXT,0.87805,1.00000,0.93506,1

ROUGE-5+StopWordRemoval,NEWS380,SYSTEM1.TXT,0.49020,1.00000,0.65789,1

ROUGE-5+StopWordRemoval,NEWS381,SYSTEM1.TXT,0.85417,1.00000,0.92135,1

ROUGE-5+StopWordRemoval,NEWS382,SYSTEM1.TXT,0.84091,0.63793,0.72549,1

ROUGE-5+StopWordRemoval,NEWS140,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-5+StopWordRemoval,NEWS141,SYSTEM1.TXT,0.63636,1.00000,0.77778,1

ROUGE-5+StopWordRemoval,NEWS383,SYSTEM1.TXT,0.52500,1.00000,0.68852,1

ROUGE-5+StopWordRemoval,NEWS142,SYSTEM1.TXT,1.00000,0.85417,0.92135,1

ROUGE-5+StopWordRemoval,NEWS384,SYSTEM1.TXT,1.00000,0.48684,0.65487,1

