ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval,NEWS106,SYSTEM1.TXT,0.91667,0.70513,0.79710,1

ROUGE-1+StopWordRemoval,NEWS348,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-1+StopWordRemoval,NEWS107,SYSTEM1.TXT,1.00000,0.61333,0.76033,1

ROUGE-1+StopWordRemoval,NEWS349,SYSTEM1.TXT,0.73684,0.56000,0.63636,1

ROUGE-1+StopWordRemoval,NEWS97,SYSTEM1.TXT,1.00000,0.77586,0.87379,1

ROUGE-1+StopWordRemoval,NEWS108,SYSTEM1.TXT,0.77778,0.79545,0.78652,1

ROUGE-1+StopWordRemoval,NEWS98,SYSTEM1.TXT,1.00000,0.54000,0.70130,1

ROUGE-1+StopWordRemoval,NEWS109,SYSTEM1.TXT,1.00000,0.53409,0.69630,1

ROUGE-1+StopWordRemoval,NEWS99,SYSTEM1.TXT,0.60976,0.39062,0.47619,1

ROUGE-1+StopWordRemoval,NEWS92,SYSTEM1.TXT,0.60656,1.00000,0.75510,1

ROUGE-1+StopWordRemoval,NEWS590,SYSTEM1.TXT,1.00000,0.70000,0.82353,1

ROUGE-1+StopWordRemoval,NEWS93,SYSTEM1.TXT,1.00000,0.75641,0.86131,1

ROUGE-1+StopWordRemoval,NEWS591,SYSTEM1.TXT,0.90196,0.62162,0.73600,1

ROUGE-1+StopWordRemoval,NEWS94,SYSTEM1.TXT,0.81667,1.00000,0.89908,1

ROUGE-1+StopWordRemoval,NEWS592,SYSTEM1.TXT,0.57407,0.64583,0.60784,1

ROUGE-1+StopWordRemoval,NEWS95,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-1+StopWordRemoval,NEWS350,SYSTEM1.TXT,1.00000,0.58947,0.74172,1

ROUGE-1+StopWordRemoval,NEWS351,SYSTEM1.TXT,0.78947,0.69231,0.73770,1

ROUGE-1+StopWordRemoval,NEWS593,SYSTEM1.TXT,1.00000,0.70588,0.82759,1

ROUGE-1+StopWordRemoval,NEWS352,SYSTEM1.TXT,0.86792,0.77966,0.82143,1

ROUGE-1+StopWordRemoval,NEWS110,SYSTEM1.TXT,1.00000,0.60811,0.75630,1

ROUGE-1+StopWordRemoval,NEWS594,SYSTEM1.TXT,1.00000,0.69565,0.82051,1

ROUGE-1+StopWordRemoval,NEWS90,SYSTEM1.TXT,0.59574,1.00000,0.74667,1

ROUGE-1+StopWordRemoval,NEWS111,SYSTEM1.TXT,1.00000,0.64045,0.78082,1

ROUGE-1+StopWordRemoval,NEWS595,SYSTEM1.TXT,1.00000,0.76250,0.86525,1

ROUGE-1+StopWordRemoval,NEWS353,SYSTEM1.TXT,0.87234,0.47126,0.61194,1

ROUGE-1+StopWordRemoval,NEWS112,SYSTEM1.TXT,0.06818,0.30000,0.11111,1

ROUGE-1+StopWordRemoval,NEWS354,SYSTEM1.TXT,0.73077,1.00000,0.84444,1

ROUGE-1+StopWordRemoval,NEWS91,SYSTEM1.TXT,0.84211,0.43836,0.57658,1

ROUGE-1+StopWordRemoval,NEWS596,SYSTEM1.TXT,0.49351,1.00000,0.66087,1

