ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-3+StopWordRemoval,NEWS322,SYSTEM1.TXT,0.83673,0.58571,0.68908,1

ROUGE-3+StopWordRemoval,NEWS564,SYSTEM1.TXT,0.82222,1.00000,0.90244,1

ROUGE-3+StopWordRemoval,NEWS323,SYSTEM1.TXT,0.52727,1.00000,0.69048,1

ROUGE-3+StopWordRemoval,NEWS565,SYSTEM1.TXT,0.90000,1.00000,0.94737,1

ROUGE-3+StopWordRemoval,NEWS566,SYSTEM1.TXT,0.86842,1.00000,0.92958,1

ROUGE-3+StopWordRemoval,NEWS324,SYSTEM1.TXT,0.75610,0.47692,0.58491,1

ROUGE-3+StopWordRemoval,NEWS567,SYSTEM1.TXT,0.28814,0.54839,0.37778,1

ROUGE-3+StopWordRemoval,NEWS325,SYSTEM1.TXT,1.00000,0.63793,0.77895,1

ROUGE-3+StopWordRemoval,NEWS326,SYSTEM1.TXT,0.85714,0.63636,0.73043,1

ROUGE-3+StopWordRemoval,NEWS568,SYSTEM1.TXT,1.00000,0.72917,0.84337,1

ROUGE-3+StopWordRemoval,NEWS327,SYSTEM1.TXT,1.00000,0.38889,0.56000,1

ROUGE-3+StopWordRemoval,NEWS569,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-3+StopWordRemoval,NEWS328,SYSTEM1.TXT,0.65957,0.55357,0.60194,1

ROUGE-3+StopWordRemoval,NEWS329,SYSTEM1.TXT,0.85000,0.75000,0.79687,1

ROUGE-3+StopWordRemoval,NEWS570,SYSTEM1.TXT,1.00000,0.55405,0.71304,1

ROUGE-3+StopWordRemoval,NEWS571,SYSTEM1.TXT,0.83333,1.00000,0.90909,1

ROUGE-3+StopWordRemoval,NEWS330,SYSTEM1.TXT,0.74000,0.53623,0.62185,1

ROUGE-3+StopWordRemoval,NEWS572,SYSTEM1.TXT,0.75000,1.00000,0.85714,1

ROUGE-3+StopWordRemoval,NEWS573,SYSTEM1.TXT,1.00000,0.76562,0.86726,1

ROUGE-3+StopWordRemoval,NEWS331,SYSTEM1.TXT,0.84906,1.00000,0.91837,1

ROUGE-3+StopWordRemoval,NEWS332,SYSTEM1.TXT,0.64444,0.78378,0.70732,1

ROUGE-3+StopWordRemoval,NEWS574,SYSTEM1.TXT,0.60345,0.94595,0.73684,1

ROUGE-3+StopWordRemoval,NEWS575,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-3+StopWordRemoval,NEWS333,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-3+StopWordRemoval,NEWS334,SYSTEM1.TXT,1.00000,0.73770,0.84906,1

ROUGE-3+StopWordRemoval,NEWS576,SYSTEM1.TXT,0.90000,1.00000,0.94737,1

ROUGE-3+StopWordRemoval,NEWS335,SYSTEM1.TXT,1.00000,0.83333,0.90909,1

ROUGE-3+StopWordRemoval,NEWS577,SYSTEM1.TXT,0.60606,0.52632,0.56338,1

ROUGE-3+StopWordRemoval,NEWS336,SYSTEM1.TXT,1.00000,0.42969,0.60109,1

ROUGE-3+StopWordRemoval,NEWS578,SYSTEM1.TXT,1.00000,0.81818,0.90000,1

ROUGE-3+StopWordRemoval,NEWS337,SYSTEM1.TXT,1.00000,0.67308,0.80460,1

ROUGE-3+StopWordRemoval,NEWS579,SYSTEM1.TXT,0.64000,0.58182,0.60952,1

ROUGE-3+StopWordRemoval,NEWS338,SYSTEM1.TXT,0.42308,1.00000,0.59459,1

ROUGE-3+StopWordRemoval,NEWS339,SYSTEM1.TXT,0.30137,1.00000,0.46316,1

ROUGE-3+StopWordRemoval,NEWS580,SYSTEM1.TXT,1.00000,0.63793,0.77895,1

ROUGE-3+StopWordRemoval,NEWS581,SYSTEM1.TXT,0.46875,0.39474,0.42857,1

ROUGE-3+StopWordRemoval,NEWS340,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-3+StopWordRemoval,NEWS582,SYSTEM1.TXT,0.75000,0.76596,0.75789,1

ROUGE-3+StopWordRemoval,NEWS341,SYSTEM1.TXT,1.00000,0.33333,0.50000,1

ROUGE-3+StopWordRemoval,NEWS583,SYSTEM1.TXT,0.76190,0.44444,0.56140,1

ROUGE-3+StopWordRemoval,NEWS342,SYSTEM1.TXT,0.36585,0.37500,0.37037,1

ROUGE-3+StopWordRemoval,NEWS584,SYSTEM1.TXT,0.65957,0.65957,0.65957,1

ROUGE-3+StopWordRemoval,NEWS100,SYSTEM1.TXT,1.00000,0.74074,0.85106,1

ROUGE-3+StopWordRemoval,NEWS585,SYSTEM1.TXT,0.73810,0.65957,0.69663,1

ROUGE-3+StopWordRemoval,NEWS343,SYSTEM1.TXT,1.00000,0.79452,0.88550,1

ROUGE-3+StopWordRemoval,NEWS101,SYSTEM1.TXT,0.82143,1.00000,0.90196,1

ROUGE-3+StopWordRemoval,NEWS344,SYSTEM1.TXT,0.56000,1.00000,0.71795,1

ROUGE-3+StopWordRemoval,NEWS586,SYSTEM1.TXT,0.72727,1.00000,0.84211,1

ROUGE-3+StopWordRemoval,NEWS102,SYSTEM1.TXT,1.00000,0.45000,0.62069,1

ROUGE-3+StopWordRemoval,NEWS345,SYSTEM1.TXT,0.73077,0.67857,0.70370,1

ROUGE-3+StopWordRemoval,NEWS587,SYSTEM1.TXT,0.59322,1.00000,0.74468,1

ROUGE-3+StopWordRemoval,NEWS103,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-3+StopWordRemoval,NEWS588,SYSTEM1.TXT,1.00000,0.62162,0.76667,1

ROUGE-3+StopWordRemoval,NEWS346,SYSTEM1.TXT,0.62791,0.65854,0.64286,1

ROUGE-3+StopWordRemoval,NEWS104,SYSTEM1.TXT,1.00000,0.65217,0.78947,1

ROUGE-3+StopWordRemoval,NEWS589,SYSTEM1.TXT,0.72727,1.00000,0.84211,1

ROUGE-3+StopWordRemoval,NEWS347,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-3+StopWordRemoval,NEWS105,SYSTEM1.TXT,0.74359,0.78378,0.76316,1

ROUGE-3+StopWordRemoval,NEWS96,SYSTEM1.TXT,0.94286,0.45205,0.61111,1

ROUGE-3+StopWordRemoval,NEWS106,SYSTEM1.TXT,0.79630,0.61429,0.69355,1

ROUGE-3+StopWordRemoval,NEWS348,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-3+StopWordRemoval,NEWS107,SYSTEM1.TXT,1.00000,0.61538,0.76190,1

ROUGE-3+StopWordRemoval,NEWS349,SYSTEM1.TXT,0.65625,0.47727,0.55263,1

ROUGE-3+StopWordRemoval,NEWS97,SYSTEM1.TXT,1.00000,0.78000,0.87640,1

ROUGE-3+StopWordRemoval,NEWS108,SYSTEM1.TXT,0.76923,0.78947,0.77922,1

ROUGE-3+StopWordRemoval,NEWS98,SYSTEM1.TXT,1.00000,0.54348,0.70423,1

ROUGE-3+StopWordRemoval,NEWS109,SYSTEM1.TXT,1.00000,0.53750,0.69919,1

ROUGE-3+StopWordRemoval,NEWS99,SYSTEM1.TXT,0.60000,0.36207,0.45161,1

ROUGE-3+StopWordRemoval,NEWS92,SYSTEM1.TXT,0.60000,1.00000,0.75000,1

ROUGE-3+StopWordRemoval,NEWS590,SYSTEM1.TXT,0.96774,0.69767,0.81081,1

ROUGE-3+StopWordRemoval,NEWS93,SYSTEM1.TXT,1.00000,0.77941,0.87603,1

ROUGE-3+StopWordRemoval,NEWS591,SYSTEM1.TXT,0.88372,0.59375,0.71028,1

ROUGE-3+StopWordRemoval,NEWS94,SYSTEM1.TXT,0.83333,1.00000,0.90909,1

ROUGE-3+StopWordRemoval,NEWS592,SYSTEM1.TXT,0.56000,0.63636,0.59574,1

ROUGE-3+StopWordRemoval,NEWS95,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-3+StopWordRemoval,NEWS350,SYSTEM1.TXT,1.00000,0.58824,0.74074,1

ROUGE-3+StopWordRemoval,NEWS351,SYSTEM1.TXT,0.71429,0.63636,0.67308,1

ROUGE-3+StopWordRemoval,NEWS593,SYSTEM1.TXT,1.00000,0.68966,0.81633,1

ROUGE-3+StopWordRemoval,NEWS352,SYSTEM1.TXT,0.86667,0.76471,0.81250,1

ROUGE-3+StopWordRemoval,NEWS110,SYSTEM1.TXT,1.00000,0.60938,0.75728,1

ROUGE-3+StopWordRemoval,NEWS594,SYSTEM1.TXT,0.96552,0.68293,0.80000,1

ROUGE-3+StopWordRemoval,NEWS90,SYSTEM1.TXT,0.61538,1.00000,0.76190,1

ROUGE-3+StopWordRemoval,NEWS111,SYSTEM1.TXT,0.96226,0.64557,0.77273,1

ROUGE-3+StopWordRemoval,NEWS595,SYSTEM1.TXT,1.00000,0.75714,0.86179,1

ROUGE-3+StopWordRemoval,NEWS353,SYSTEM1.TXT,0.78049,0.40506,0.53333,1

ROUGE-3+StopWordRemoval,NEWS112,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-3+StopWordRemoval,NEWS354,SYSTEM1.TXT,0.73913,1.00000,0.85000,1

ROUGE-3+StopWordRemoval,NEWS91,SYSTEM1.TXT,0.71875,0.35385,0.47423,1

ROUGE-3+StopWordRemoval,NEWS596,SYSTEM1.TXT,0.49275,1.00000,0.66019,1

ROUGE-3+StopWordRemoval,NEWS597,SYSTEM1.TXT,0.51852,0.24348,0.33136,1

ROUGE-3+StopWordRemoval,NEWS89,SYSTEM1.TXT,0.46512,0.57143,0.51282,1

ROUGE-3+StopWordRemoval,NEWS113,SYSTEM1.TXT,1.00000,0.76923,0.86957,1

ROUGE-3+StopWordRemoval,NEWS355,SYSTEM1.TXT,0.69231,0.75000,0.72000,1

ROUGE-3+StopWordRemoval,NEWS598,SYSTEM1.TXT,1.00000,0.69767,0.82192,1

ROUGE-3+StopWordRemoval,NEWS114,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-3+StopWordRemoval,NEWS356,SYSTEM1.TXT,0.50820,0.59615,0.54867,1

ROUGE-3+StopWordRemoval,NEWS357,SYSTEM1.TXT,0.15789,1.00000,0.27273,1

ROUGE-3+StopWordRemoval,NEWS599,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-3+StopWordRemoval,NEWS115,SYSTEM1.TXT,0.60526,0.45098,0.51685,1

ROUGE-3+StopWordRemoval,NEWS358,SYSTEM1.TXT,1.00000,0.55844,0.71667,1

ROUGE-3+StopWordRemoval,NEWS116,SYSTEM1.TXT,0.54902,1.00000,0.70886,1

ROUGE-3+StopWordRemoval,NEWS85,SYSTEM1.TXT,1.00000,0.54902,0.70886,1

ROUGE-3+StopWordRemoval,NEWS117,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-3+StopWordRemoval,NEWS359,SYSTEM1.TXT,0.80769,1.00000,0.89362,1

ROUGE-3+StopWordRemoval,NEWS118,SYSTEM1.TXT,0.68966,0.43478,0.53333,1

ROUGE-3+StopWordRemoval,NEWS86,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-3+StopWordRemoval,NEWS87,SYSTEM1.TXT,0.75926,1.00000,0.86316,1

ROUGE-3+StopWordRemoval,NEWS119,SYSTEM1.TXT,0.71739,0.44000,0.54545,1

ROUGE-3+StopWordRemoval,NEWS88,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-3+StopWordRemoval,NEWS81,SYSTEM1.TXT,0.50000,0.59524,0.54348,1

ROUGE-3+StopWordRemoval,NEWS82,SYSTEM1.TXT,0.44828,0.54167,0.49057,1

ROUGE-3+StopWordRemoval,NEWS360,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-3+StopWordRemoval,NEWS83,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-3+StopWordRemoval,NEWS361,SYSTEM1.TXT,0.77500,0.43056,0.55357,1

ROUGE-3+StopWordRemoval,NEWS84,SYSTEM1.TXT,1.00000,0.48214,0.65060,1

ROUGE-3+StopWordRemoval,NEWS120,SYSTEM1.TXT,1.00000,0.43902,0.61017,1

ROUGE-3+StopWordRemoval,NEWS362,SYSTEM1.TXT,0.85714,0.76364,0.80769,1

ROUGE-3+StopWordRemoval,NEWS121,SYSTEM1.TXT,0.79310,1.00000,0.88462,1

ROUGE-3+StopWordRemoval,NEWS363,SYSTEM1.TXT,0.80851,1.00000,0.89412,1

ROUGE-3+StopWordRemoval,NEWS364,SYSTEM1.TXT,0.52000,0.54167,0.53061,1

ROUGE-3+StopWordRemoval,NEWS122,SYSTEM1.TXT,0.65957,1.00000,0.79487,1

ROUGE-3+StopWordRemoval,NEWS123,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-3+StopWordRemoval,NEWS80,SYSTEM1.TXT,1.00000,0.74286,0.85246,1

ROUGE-3+StopWordRemoval,NEWS365,SYSTEM1.TXT,0.63492,1.00000,0.77670,1

ROUGE-3+StopWordRemoval,NEWS124,SYSTEM1.TXT,1.00000,0.71765,0.83562,1

ROUGE-3+StopWordRemoval,NEWS366,SYSTEM1.TXT,0.86957,0.70175,0.77670,1

ROUGE-3+StopWordRemoval,NEWS367,SYSTEM1.TXT,1.00000,0.77612,0.87395,1

